,0
0,420.4742793675988
1,351.47291094354733
2,665.31779109174
3,615.1218766043226
4,403.91459693564957
5,360.8441712695645
6,350.6747872463819
7,302.7102895540785
8,615.8204518637281
9,364.2700280479222
10,514.7908667924285
11,444.9446395409774
12,653.9358072462948
13,509.2251756986525
14,469.86643017822706
15,511.55951376491896
16,438.1506286118658
17,618.6581873716156
18,546.7789462026078
19,414.21301799988726
20,346.1959392140343
21,444.4159849436067
22,478.2891867718229
23,352.7392738150609
24,561.6450821192809
25,996.247669809229
26,1004.5973021640791
27,558.1887060273101
28,436.3472288980324
29,341.7438517547566
30,433.2380449961559
31,394.67435191341974
32,543.1783121575108
33,273.7315968961089
34,2089.454411115389
35,653.6482525328664
36,557.521469003271
37,281.23865991724796
38,394.70064322598995
39,402.9209464149646
40,766.9184496978938
41,497.3043367231762
42,939.4139746776258
43,736.116574156737
44,575.5891072875899
45,311.6088754524383
46,400.97783252552955
47,403.42590189012896
48,608.9715549151176
49,329.24670656227795
50,452.6610775829504
51,548.8744811890319
52,567.7149257164497
53,664.3879368918772
54,470.76706520965945
55,500.75568485816956
56,303.4186106247465
57,323.2511637557933
58,855.1495258419139
59,833.8563509377531
60,482.13776916187237
61,606.2733251841289
62,375.3512425603294
63,249.47180724190383
64,529.5342530156471
65,680.374510037466
66,580.5186058502857
67,273.51776150656923
68,363.40482823903193
69,536.3511382215581
70,446.9269217736942
71,677.9967791907216
72,1005.4398911553723
73,614.5458708360688
74,400.53500131514386
75,406.6927724673224
76,701.2741741702185
77,564.198241566419
78,442.00827255784225
79,702.9137611309775
80,598.1363425223018
81,656.8899884203091
82,570.9155603731957
83,475.4194973994405
84,392.80457838558624
85,314.41321177701764
86,412.099864046674
87,454.2970229461281
88,360.3133181459148
89,475.54020927573475
90,436.26119162594443
91,594.7235188746629
92,245.9908397604091
93,967.0284688550139
94,518.1073397639468
95,442.3911237083533
96,241.73517487318662
97,620.9770934858382
98,329.13649467724423
99,506.41483768099624
100,320.77835983316936
101,430.50175330019
102,568.0129528164229
103,730.6945091606992
104,494.96910833837836
105,475.4830825645702
106,525.4048561102966
107,540.758733041315
108,674.3008771869523
109,530.782583583233
110,514.7852971149482
